,REFERENCE: doi,NAME,FORMULA,Family,PROPERTY: Material Family,IDENTIFIER: sampleid,IDENTIFIER: paperid,IDENTIFIER: figureid,PROPERTY: Temperature (K),PROPERTY: Seebeck coefficient (V/K),PROPERTY: Thermal conductivity (W*m^(-1)*K^(-1)),PROPERTY: Power factor (W*m^(-1)*K^(-2)),PROPERTY: ZT (-),PROPERTY: Electrical conductivity (S*m^(-1)),PROPERTY: sigma_E_0,PROPERTY: log sigma_E_0,PROPERTY: quality_factor,PROPERTY: log quality_factor,inexpensive,non-toxic,n_elements,electron_count,PROPERTY: Seebeck coefficient (muV/K),|S|(muV/K),,L,L*sigma*T,Electronic thermal conductivity,Lattice thermal conductivity,
21599,10.1039/c0jm02011g,9,Zn4Sb3,Zintl,Antimonide,16975,2731,14501,300,0.000129347,0.776717759,,0.259924164,46037.62454,26881.43594,4.429452464,0.113109635,,1,TRUE,2,55,129.347,129.347,0.327895492,1.827895492,1.8279E-08,0.252455899,0.52426186,
21595,10.1063/1.3029774,AST4456,Ag0.83Sb1.06Te2,Toxic,,10246,307,8337,300,0.000198438,0.427166973,0.000753704,0.605162738,20014.08832,26885.137,4.429512254,0.181626918,,1,FALSE,3,25,198.438,198.438,0.180744217,1.680744217,1.68074E-08,0.10091569,0.326251283,
21592,10.1016/j.actamat.2016.04.050,Cu1.98Se,Cu1.98Se1,Toxic,,14482,5869,12281,300,8.14E-05,0.76498528,,0.222758767,87845.68027,26889.85019,4.429588383,0.255300718,,1,TRUE,2,0,81.4,81.4,0.49572986,1.99572986,1.99573E-08,0.525948742,0.239036538,
21591,10.1016/j.actamat.2014.04.036,x=0.3,Ge0.7Te0.5Pb0.3Se0.5,Toxic,PbTe,15163,64,12855,300,0.000158122,0.797987504,,0.317464755,32346.54947,26890.70613,4.429602207,0.094692851,,1,FALSE,4,0,158.122,158.122,0.255861067,1.755861067,1.75586E-08,0.170388141,0.627599363,
21586,10.1021/acs.chemmater.6b01291,x=2%,Cu1Bi0.98Pb0.02Se1O1,Toxic,,20998,7398,17487,300,0.000218837,0.969967915,,0.266234808,15759.46628,26902.58881,4.429794074,0.066990787,,1,FALSE,5,0,218.837,218.837,0.151597566,1.651597566,1.6516E-08,0.078084888,0.891883027,
21584,10.1063/1.4901460,y=0.10,Tl9Bi0.9Te6Pb0.1,Toxic,,14201,2168,11976,300,8.71E-05,0.800767177,0.000622395,0.242219172,80913.76796,26914.71225,4.429989741,0.187301018,,1,FALSE,4,67,87.1,87.1,0.471959516,1.971959516,1.97196E-08,0.478676024,0.322091153,
21577,10.1007/s13391-014-4148-9,Bi0.01,Mg2.04Si0.99Bi0.01,Toxic,,8321,827,6820,300,-0.00010819,6.712481446,0.000710624,0.031554755,60514.46355,26925.39288,4.430162049,0.009413264,,1,FALSE,3,8,-108.19,108.19,0.393500707,1.893500707,1.8935E-08,0.343752539,6.368728907,
21576,10.1063/1.2896591,x=0.15,Zr0.85Ti0.15Co1Sn0.3Sb0.7,Half-heusler,,11375,1959,9383,300,8.12E-05,9.955692875,0.189753549,0.016055638,88272.92111,26925.96931,4.430171346,0.006366143,,1,TRUE,5,17,81.2,81.2,0.496585304,1.996585304,1.99659E-08,0.528733251,9.426959624,
21567,10.1016/j.intermet.2011.11.021,x=0.30,Zn9.1Cd3.9Sb10,,,16542,1256,14070,300,0.000171232,,0.000801454,0.283917995,27684.93678,26937.45981,4.43035664,,,1,FALSE,3,180,171.232,171.232,0.228518541,1.728518541,1.72852E-08,0.14356178,-0.14356178,
21566,10.1016/j.jallcom.2016.06.047,x=0.03,Nb0.03Cr0.97Si2,,,22288,9826,18442,300,0.000110309,5.671864275,0.000708576,0.038110065,58884.31116,26941.71725,4.430425274,0.011234576,,1,TRUE,3,13,110.309,110.309,0.386377791,1.886377791,1.88638E-08,0.33323417,5.338630105,
21564,10.1039/c5ee02423d,Sn0.8Mn0.2Te1,Mn0.2Sn0.8Te1,Toxic,,280,7979,4884,300,5.48E-05,2.426086957,0.0004375,0.049792531,137605.042,26942.70656,4.430441221,0.039396173,,1,FALSE,3,10,54.8,54.8,0.623495461,2.123495461,2.1235E-08,0.876611046,1.549475911,
21563,10.1016/j.cej.2019.04.081,Cu1.97Bi0.01Se,Cu1.97Bi0.01Se1,Toxic,,27414,21345,22017,300,5.65E-05,1.286521625,0.000427391,0.105263158,133143.3225,26946.37425,4.430500337,0.143580917,,1,FALSE,3,0,56.5,56.5,0.614424657,2.114424657,2.11442E-08,0.844564572,0.441957053,
21560,10.1007/s11664-012-2469-8,Pb1Te1I0.00033,Te1Pb1I0.00033,Toxic,,354,2467,4862,300,-0.000171816,2.53697035,,0.092245194,27506.35469,26950.67238,4.430569605,0.025026765,,1,FALSE,3,0,-171.816,171.816,0.227370959,1.727370959,1.72737E-08,0.142541035,2.394429315,
21559,10.1021/nl3002183,TlPbTe:Si0.02Na0.015,Na0.015Tl0.02Si0.02Te1Pb0.98,Toxic,,15859,4147,13442,300,0.000145164,1.501908957,0.000804687,0.165554719,37950.96322,26953.08163,4.430608427,0.046051104,,1,FALSE,5,10,145.164,145.164,0.286100025,1.786100025,1.7861E-08,0.203352649,1.298556308,
21558,10.1039/c4dt01909a,x=0.02_4,Zn0.02In1Cu0.98Te2,Toxic,,13872,783,11602,300,0.000132545,3.460674157,,0.075500344,44351.31498,26953.71956,4.430618705,0.018625159,,1,FALSE,4,25,132.545,132.545,0.318979223,1.818979223,1.81898E-08,0.242022361,3.218651796,
21557,10.1007/s11664-010-1400-4,Ca0.3Co3MnSb12,Ca0.3Mn1Co3Sb12,Skutterudite,,5737,11094,4455,300,8.56E-05,0.627037037,,0.058332561,82796.9871,26954.7725,4.430635671,0.451010543,,1,TRUE,4,94,85.6,85.6,0.47810207,1.97810207,1.9781E-08,0.491342675,0.135694362,
21553,10.1039/c4ta01957a,Cu2.95Sb1-xSnxSe4 (x=0.01),Cu2.95Sn0.01Sb0.99Se4,Toxic,,13631,2795,11391,300,0.000159945,3.129942351,,0.078153999,31729.50147,26963.51213,4.43077646,0.02023734,,1,TRUE,4,0,159.945,159.945,0.251871509,1.751871509,1.75187E-08,0.166758029,2.963184322,
21536,10.1007/s11664-012-1927-7,x=0.0,Zn4Sb3,Zintl,Antimonide,16893,2350,14411,300,0.000110471,0.781936641,0.000715171,0.271329938,58861.98547,26989.0275,4.431187236,0.132811199,,1,TRUE,2,55,110.471,110.471,0.385838571,1.885838571,1.88584E-08,0.333012608,0.448924033,
21514,10.1016/j.intermet.2009.06.005,DD0.12FeCo3Sb12,D1.12Fe1Co3Sb12,Skutterudite,,3437,1244,2317,300,6.43E-05,3.476802729,,0.044221106,116045.7624,27029.40031,4.43183641,0.021987731,,1,TRUE,4,0,64.3,64.3,0.57446831,2.07446831,2.07447E-08,0.72219977,2.754602959,
21508,10.7567/apex.6.043001,Cu0.97Fe1.03S2,Fe1.03Cu0.97S2,,,6604,247,5234,300,-0.000180256,6.100917431,0.000832082,0.039706557,24965.13733,27046.66875,4.432113782,0.010080846,,1,TRUE,3,0,-180.256,180.256,0.211415258,1.711415258,1.71142E-08,0.128177151,5.97274028,
21506,10.1039/c6cp08026j,Ref.64,Ba4Ga8Ge15,Clathrate,,2308,18547,1459,300,-4.63E-05,,,0.069947878,164585.3864,27049.53181,4.432159753,,,1,TRUE,3,92,-46.3,46.3,0.670898157,2.170898157,2.1709E-08,1.071894336,-1.071894336,
21500,10.1007/s11664-009-0677-7,SPS at 300c,TePb,Toxic,,15382,2289,13050,300,0.000268938,1.151849784,0.000647785,0.166292112,8837.997969,27071.5045,4.432512392,0.054289628,,1,FALSE,2,10,268.938,268.938,0.098427894,1.598427894,1.59843E-08,0.042380707,1.109469077,
21492,10.1038/srep40436,x=0,Cu1.98Se1,Toxic,,15446,18834,13116,300,7.96E-05,,,0.269385329,90947.89237,27079.17975,4.432635505,,,1,TRUE,2,0,79.6,79.6,0.503482212,2.003482212,2.00348E-08,0.546637454,-0.546637454,
21486,10.1063/1.3136847,x=0.10,Sr0.9Y0.1Si2,,,17698,6755,15038,300,0.000131061,4.961069418,,0.048113208,45409.09611,27089.81769,4.432806082,0.012791345,,1,TRUE,3,10,131.061,131.061,0.323086171,1.823086171,1.82309E-08,0.248354086,4.712715332,
21472,10.1002/zaac.201200284,SnBi2Te4,Sn(BiTe2)2,Toxic,,9670,5667,7917,300,8.61E-05,0.767337808,0.000617609,0.233676976,82682.42549,27119.43519,4.43328064,0.219817295,,1,FALSE,3,38,86.1,86.1,0.47604572,1.97604572,1.97605E-08,0.490152759,0.277185049,
21471,10.1007/s13391-014-4152-0,423-150,AgSbTe2,Toxic,,20814,830,17327,300,0.000147777,0.852603328,0.000787458,0.325018133,36984.39767,27119.65038,4.433284086,0.091476607,,1,FALSE,3,27,147.777,147.777,0.279727419,1.779727419,1.77973E-08,0.19746644,0.655136888,
21468,10.1063/1.4828478,x=0.05,Ag1Bi0.05Sb0.95Te2,Toxic,,16712,2122,14230,300,0.000198885,0.652514125,0.000802511,0.368146575,20088.38802,27126.97844,4.433401422,0.108928246,,1,FALSE,4,27,198.885,198.885,0.180049069,1.680049069,1.68005E-08,0.101248433,0.551265692,
21463,10.1007/s13391-014-4152-0,473-300,AgSbTe2,Toxic,,20818,830,17327,300,9.66E-05,0.928395062,0.000661489,0.209229312,71333.2578,27131.3295,4.433471076,0.117261688,,1,FALSE,3,27,96.6,96.6,0.434848049,1.934848049,1.93485E-08,0.414057044,0.514338018,
21460,10.1039/c5tc01636c,x=0.52,Cu12Sb3.48Te0.52S13,Toxic,,7290,2844,5855,300,9.31E-05,1.023858921,,0.218989749,74866.03284,27139.11194,4.433595632,0.103090695,,1,FALSE,4,0,93.1,93.1,0.448168408,1.948168408,1.94817E-08,0.43755492,0.586304001,
21450,10.1557/jmr.2007.0031,"1mass%,1hrMG",Co0.92Ni0.08Sb2.96Te0.04,Toxic,,4240,2875,3012,300,-0.000104148,2.15210356,,0.107933629,64410.88799,27159.22194,4.433917324,0.033870362,,1,FALSE,4,24,-104.148,104.148,0.407453857,1.907453857,1.90745E-08,0.36858239,1.78352117,
21446,10.1016/j.jmat.2016.05.005,x=0.04,Na0.02Mg0.0392Te0.8Pb0.9408Se0.2,Toxic,,2715,18584,1775,300,5.14E-05,2.220207254,,0.035971223,148392.7268,27167.25447,4.434045751,0.048955534,,1,FALSE,5,0,51.4,51.4,0.642040786,2.142040786,2.14204E-08,0.953589819,1.266617435,
21427,10.1021/ja301772w,x=0.30,Na0.3Pb0.97S1,,,7364,3495,5924,300,4.4E-05,2.526072485,0.000206704,0.028818444,174428.8829,27193.903,4.434471544,0.045137563,,1,FALSE,3,0,44,44,0.6843332,2.1843332,2.18433E-08,1.1430324,1.383040085,
21425,10.1007/s11664-016-4826-5,Cu12Sb3.6Bi0.4S13,Cu12Bi0.4Sb3.6S13,Toxic,,8191,11013,6706,300,0.000128852,0.797802198,0.000774964,0.405365943,46865.0019,27195.15281,4.434491504,0.110992649,,1,FALSE,4,0,128.852,128.852,0.32929769,1.82929769,1.8293E-08,0.257190119,0.540612079,
21424,10.1016/j.matlet.2005.12.074,x=1.5,La1.5Fe4Sb12,Skutterudite,,4540,3750,3309,300,7.5E-05,1.768895308,,0.108424214,98006.64452,27195.47244,4.434496608,0.051968817,,1,TRUE,3,96,75,75,0.523849042,2.023849042,2.02385E-08,0.595051961,1.173843347,
21421,10.1021/cm402593f,x=0.01,Tl9Bi0.99Te6,Toxic,,13843,609,11575,300,0.000170205,0.483201923,,0.55545764,28322.62192,27221.87444,4.434918026,0.177920593,,1,FALSE,3,67,170.205,170.205,0.2305507,1.7305507,1.73055E-08,0.1470412,0.336160723,
21420,10.1063/1.4759370,D,Ba0.27Yb0.25Fe1Co2.6Sb12,Skutterudite,,4005,2075,2759,300,5.81E-05,2.972075867,,0.048125227,130549.6713,27223.08169,4.434937286,0.028540366,,1,TRUE,5,0,58.1,58.1,0.606008014,2.106008014,2.10601E-08,0.824815962,2.147259905,
21416,10.1002/anie.201511737,In0.997Te,In0.997Te1,Toxic,,15215,6449,12907,300,0.000127325,0.679723502,0.000789828,0.347975876,47844.3031,27234.90094,4.4351258,0.143872479,,1,FALSE,2,8,127.325,127.325,0.333661154,1.833661154,1.83366E-08,0.26319072,0.416532782,
21414,10.1063/1.3029774,AST5050,AgSbTe2,Toxic,,10244,307,8337,300,0.000264063,0.303963809,0.000602469,0.71224526,9415.201044,27248.49419,4.435342507,0.233288182,,1,FALSE,3,27,264.063,264.063,0.102652562,1.602652562,1.60265E-08,0.045267888,0.258695921,
21410,10.1016/j.jallcom.2012.09.024,Yb2CeCo4Ge13,Yb2CeCo4Ge13,,,5783,1712,4501,300,-1.01E-05,14.22582912,,0.001391101,761803.5316,27257.46406,4.435485448,0.007006958,,1,TRUE,4,0,-10.1,10.1,0.916613879,2.416613879,2.41661E-08,5.522954962,8.702874158,
21390,10.1039/c5ta01794g,x=0.15,Zr0.85Ti0.15Ni1Sn0.975Ge0.025,Half-heusler,,11547,2817,9541,300,-0.000136195,4.332823578,0.000736041,0.055560197,42957.99267,27318.68825,4.436459842,0.01482535,,1,TRUE,5,18,-136.195,136.195,0.309098641,1.809098641,1.8091E-08,0.233145738,4.09967784,
21385,10.1021/ja400069s,Pb0.98Ba0.01Na0.01Se1,Ba0.01Na0.01Pb0.98Se1,Toxic,,381,3503,4876,300,2.85E-05,3.495296671,0.000278618,0.024053452,271468.4015,27331.88088,4.436669519,0.03874279,,1,FALSE,4,0,28.5,28.5,0.782164928,2.282164928,2.28216E-08,1.858606995,1.636689676,
21372,10.1021/cm5023823,CVT-CuCl2,Mn1Si1.73,Silicide,Silicide,10093,620,8251,300,0.000117057,2.7,,0.0917,54745.65217,27345.02831,4.436878377,0.025400131,,1,TRUE,2,13,117.057,117.057,0.364542525,1.864542525,1.86454E-08,0.30622679,2.39377321,
21368,10.1007/s11664-010-1286-1,0.000746528,CoSb3,Skutterudite,Skutterudite,5448,10677,4139,300,3.83E-05,3.485340019,0.000273757,0.0264581,201908.7572,27349.65563,4.436951862,0.029134579,,1,TRUE,2,24,38.3,38.3,0.718799792,2.218799792,2.2188E-08,1.343985325,2.141354694,
21367,10.1016/j.actamat.2012.09.035,"Ti1.031S2,In",Ti1.031S2,Chalcogenide,Titanium disulfide (TiS2),6529,52,5197,300,-4.01E-05,2.918840276,0.000293658,0.024846332,192958.3984,27353.05381,4.43700582,0.038241527,,1,TRUE,2,0,-40.1,40.1,0.707732094,2.207732094,2.20773E-08,1.278001347,1.640838929,
21366,10.1039/c2jm30906h,x=0.005,Zn3.98Ge0.02Sb3,,,16993,2745,14519,300,0.00014136,0.829931311,0.001073461,0.386934673,40354.68154,27353.31425,4.437009955,0.098607725,,1,TRUE,3,54,141.36,141.36,0.295637662,1.795637662,1.79564E-08,0.217387158,0.612544153,
21365,10.1016/j.jallcom.2007.09.101,x=0,Mg2Si,Mg2Si,Mg2Si,8388,1597,6876,300,-0.000109304,4.408600459,,0.080213904,60580.79268,27354.14319,4.437023116,0.01497684,,1,TRUE,2,8,-109.304,109.304,0.389739831,1.889739831,1.88974E-08,0.343445811,4.065154648,
21357,10.1016/j.jssc.2005.10.029,La0.1Co3.6Ni0.4Sb12,La0.1Co3.6Ni0.4Sb12,Skutterudite,,4351,3365,3123,300,-0.000100791,4.723404255,,0.058428224,67916.66667,27371.00144,4.437290687,0.014067581,,1,TRUE,4,96,-100.791,100.791,0.419417711,1.919417711,1.91942E-08,0.391081359,4.332322896,
21356,10.1016/j.jallcom.2012.09.067,x=0.15,Fe1Cu1S1.85,,,6941,1716,5540,300,-0.000296927,3.435680102,0.000582671,0.056545108,6453.174752,27371.89256,4.437304827,0.017902618,,1,TRUE,3,0,-296.927,296.927,0.077326735,1.577326735,1.57733E-08,0.030536295,3.405143807,
21354,10.1016/j.actamat.2011.04.023,x=0.0,Zn4Sb3,Zintl,Antimonide,16438,43,13940,300,0.000122217,0.784784286,0.000769899,0.293693694,51303.13543,27375.90194,4.437368437,0.120716806,,1,TRUE,2,55,122.217,122.217,0.348682042,1.848682042,1.84868E-08,0.284529555,0.500254731,
21351,10.1016/j.jallcom.2007.09.101,x=0.07,Ca0.07Mg1.93Si1,,,8392,1597,6876,300,-7.68E-05,5.770153198,,0.044117647,95936.48374,27384.52731,4.437505249,0.011770344,,1,TRUE,3,8,-76.8,76.8,0.515783092,2.015783092,2.01578E-08,0.580161426,5.189991772,
21349,10.1016/j.jallcom.2017.07.193,x=0.10,Te0.9Pb1Se0.1,Toxic,,2694,18488,1752,300,-0.000170868,1.623440957,8.22E-06,0.144916127,28275.71429,27392.32413,4.437628882,0.041191756,,1,FALSE,3,0,-170.868,170.868,0.229236742,1.729236742,1.72924E-08,0.146686212,1.476754745,
21347,10.1016/j.jallcom.2013.03.074,Ba8Ni1.00Zn5.30Ge38.96Sn0.72,Ba8Zn5.3Ni1Sn0.72Ge38.96,,,720,1730,366,300,-8.96E-05,1.190139219,,0.129107536,79444.83775,27397.272,4.437707321,0.084592227,,1,TRUE,5,237,-89.6,89.6,0.461896798,1.961896798,1.9619E-08,0.467587718,0.722551501,
21345,10.1038/srep40436,x=0.08,Cu1.98Se0.92S0.08,Toxic,,15448,18834,13116,300,0.000107231,,,0.319369246,62381.81403,27406.00675,4.43784576,,,1,TRUE,3,0,107.231,107.231,0.396767357,1.896767357,1.89677E-08,0.354971366,-0.354971366,
21336,10.1007/s11664-010-1288-z,10,Zn4Sb3,Zintl,Antimonide,16879,2292,14400,300,0.000119567,0.880464958,,0.260479886,53169.85039,27428.15231,4.438196553,0.103727132,,1,TRUE,2,55,119.567,119.567,0.356739306,1.856739306,1.85674E-08,0.296167653,0.584297305,
21327,10.1063/1.4789389,x=0.5,Cu11.5Ni0.5Sb4S13,,,7013,2087,5607,300,9.04E-05,1.035837776,,0.189978173,78703.7037,27453.95556,4.438604926,0.106810597,,1,TRUE,4,0,90.4,90.4,0.458722262,1.958722262,1.95872E-08,0.46247609,0.573361686,
21325,10.1016/j.jmat.2016.05.005,x=0.06,Na0.02Mg0.0588Te0.8Pb0.9212Se0.2,Toxic,,2716,18584,1775,300,4.45E-05,2.17357513,,0.050359712,174335.8133,27462.02128,4.438732499,0.061677014,,1,FALSE,5,0,44.5,44.5,0.681389836,2.181389836,2.18139E-08,1.140883114,1.032692016,
21307,10.1021/acs.chemmater.5b03365,"x=1.05,In",La1.197Nb1S3.197,,,6724,643,5346,300,3.73E-05,3.087421256,0.000276039,0.025945617,209025.7023,27520.11881,4.439650305,0.037387987,,1,TRUE,3,0,37.3,37.3,0.725023128,2.225023128,2.22502E-08,1.395261066,1.69216019,
21279,10.1016/j.scriptamat.2012.04.005,e_Bi2Te2.4Se0.6,Bi2Te2.4Se0.6,Toxic,,5668,5190,4376,300,-0.000126729,0.753798602,0.000943002,0.322419048,48849.64355,27599.725,4.440904755,0.125467563,,1,FALSE,3,0,-126.729,126.729,0.335379893,1.835379893,1.83538E-08,0.268972961,0.484825641,
21273,10.1021/ic500026t,GeCCo3,Co3GeC,Perovskite,,1858,1183,1143,300,1.82E-05,10.55,,0.004657732,430725.0538,27608.25728,4.441038993,0.008271295,,1,TRUE,3,0,18.2,18.2,0.854792481,2.354792481,2.35479E-08,3.042804354,7.507195646,
21271,10.1063/1.2538036,853K,CoSb3,Skutterudite,Skutterudite,3927,1938,2677,300,2.97E-05,5.915915916,,0.014340659,263874.1211,27615.77319,4.441157207,0.015186435,,1,TRUE,2,24,29.7,29.7,0.774115275,2.274115275,2.27412E-08,1.800240508,4.115675408,
21268,10.1007/s11664-012-2139-x,Pb0.02,Zn4Sb3Pb0.02,Zintl,Antimonide,16926,2405,14443,300,0.000142228,0.634778184,0.000806748,0.381858895,40324.67922,27626.56919,4.441326955,0.145395906,,1,FALSE,3,55,142.228,142.228,0.293433733,1.793433733,1.79343E-08,0.21695892,0.417819264,
21266,10.1016/j.jallcom.2013.03.074,Ba8Ni1.25Zn4.95Ge38.93Sn0.87,Ba8Zn4.95Ni1.25Sn0.87Ge38.93,,,153,1730,368,300,-5.65E-05,1.730127808,,0.074945434,136509.5012,27633.54219,4.441436558,0.073306305,,1,TRUE,5,237,-56.5,56.5,0.614424657,2.114424657,2.11442E-08,0.865917166,0.864210642,
21262,10.1007/s11664-014-3539-x,Tl0.6Fe1.5Co2.5Sb12,Tl0.6Fe1.5Co2.5Sb12,Skutterudite,,4192,2638,2964,300,6.11E-05,2.381335911,,0.064948454,125566.343,27636.44556,4.441482186,0.039108666,,1,TRUE,4,96,61.1,61.1,0.59053632,2.09053632,2.09054E-08,0.787503002,1.593832909,
21254,10.1039/c5ta01794g,x=0.25,Zr0.75Ti0.25Ni1Sn0.975Ge0.025,Half-heusler,,11548,2817,9541,300,-0.000121834,3.251911581,0.000799958,0.076008856,52077.81224,27654.10344,4.441759583,0.020757725,,1,TRUE,5,18,-121.834,121.834,0.349835196,1.849835196,1.84984E-08,0.28900611,2.962905471,
21245,10.1016/j.jallcom.2011.10.036,PbSe,PbSe,Toxic,,15790,9628,13357,300,-0.000154219,2.004217465,0.001398676,0.296264717,34924.51053,27694.762,4.442397637,0.03381357,,1,FALSE,2,0,-154.219,154.219,0.264616376,1.764616376,1.76462E-08,0.18488509,1.819332375,
21242,10.1039/c5ta01778e,x=0.002,Gd0.008Zn3.992Sb3,,,17006,2816,14523,300,0.000117117,0.862893088,,0.256723398,55417.70058,27701.65275,4.442505681,0.110682871,,1,TRUE,3,0,117.117,117.117,0.364354017,1.864354017,1.86435E-08,0.309954638,0.55293845,
21229,10.3938/jkps.65.57,Mg2Si0.7Ge0.3,Mg2Si0.7Ge0.3,Mg2Si,Mg2Si,9203,3586,7577,300,-0.000486016,3.319555106,0.000175453,0.017061893,728.353851,27743.44294,4.443160356,0.018636887,,1,TRUE,3,8,-486.016,486.016,0.015149419,1.515149419,1.51515E-08,0.003310695,3.316244411,
21225,10.1063/1.4823859,x=0.00,Nb0.4V0.6Fe1Sb1,,,12568,10320,10408,300,-0.000278679,5.303964758,0.000630509,0.032697503,8089.680402,27753.65631,4.443320206,0.011739668,,1,TRUE,4,18,-278.679,278.679,0.090500023,1.590500023,1.5905E-08,0.038599911,5.265364847,
21224,10.1063/1.4862955,x=0.10,Ti1Ni1.1Sn1,,,23111,10330,18948,300,-0.000210026,6.603791353,0.000741099,0.033200805,18028.84615,27754.73719,4.443337119,0.009487624,,1,TRUE,3,19,-210.026,210.026,0.16356105,1.66356105,1.66356E-08,0.089976259,6.513815094,
21213,10.1007/s11664-012-2455-1,0.15 hot pressed,Bi0.85Sb0.15,Toxic,,11943,2492,9904,300,-8.44E-05,2.874430823,,0.073101266,86857.28218,27779.50856,4.443724559,0.026283823,,1,FALSE,2,5,-84.4,84.4,0.483073624,1.983073624,1.98307E-08,0.516733156,2.357697667,
21190,10.1063/1.4733661,Near eutectic,Ag31.8Te65.1Pb3.1,Toxic,,11210,365,9226,300,0.000423287,0.573474106,,0.148702558,1512.428448,27818.76681,4.444337874,0.109360202,,1,FALSE,3,720,423.287,423.287,0.02601646,1.52601646,1.52602E-08,0.006923972,0.566550134,
21184,10.1007/s11664-014-3423-8,Ti9Co2Ru18B8,Ti9Co2(B4Ru9)2,Expensive,,12527,2620,10364,300,2.53E-05,5.638665132,0.000202097,0.012483221,312139.54,27825.93509,4.444449768,0.018175201,,0,TRUE,4,0,25.3,25.3,0.804042261,2.304042261,2.30404E-08,2.157548074,3.481117058,
21181,10.1016/j.actamat.2016.04.050,Cu1.95Se,Cu1.95Se1,Toxic,,14483,5869,12281,300,6.47E-05,1.006836232,,0.13916542,118606.1437,27840.78388,4.444681459,0.244772689,,1,TRUE,2,0,64.7,64.7,0.572490796,2.072490796,2.07249E-08,0.737430423,0.269405809,
21173,10.1021/acsami.5b02537,2hour,Si,Pure element,,21260,5697,17711,300,-9.15E-05,5.144308816,0.000656323,0.038352397,78521.93995,27847.96756,4.444793504,0.013245805,,1,TRUE,1,4,-91.5,91.5,0.45439287,1.95439287,1.95439E-08,0.460388159,4.683920657,
21170,10.1063/1.1688463,Ca0.05Co4Sb12.43,Ca0.05Co4Sb12.43,Skutterudite,Skutterudite,5355,10019,4061,300,-0.000171516,4.971608833,,0.049516908,28526.93735,27851.26275,4.44484489,0.012849964,,1,TRUE,3,98,-171.516,171.516,0.227959749,1.727959749,1.72796E-08,0.147880198,4.823728635,
21155,10.1021/cm0708517,Re3Ge0.6As6.4,Re3Ge0.6As6.4,Toxic,Antimonide,12851,576,10669,300,-6.98E-05,4.192949907,0.000580461,0.041828133,109066.5665,27879.45569,4.44528429,0.017689144,,1,FALSE,3,55,-69.8,69.8,0.547866224,2.047866224,2.04787E-08,0.670061213,3.522888694,
21142,10.1063/1.4729772,RuGa3,Ga3Ru,Expensive,,16251,2060,13754,300,-0.000545882,4.314450867,,0.004058625,365.8497413,27914.67631,4.445832596,0.014419101,,0,TRUE,2,17,-545.882,545.882,0.00904196,1.50904196,1.50904E-08,0.001656248,4.312794619,
21140,10.1063/1.2939372,x=0.15,Yb1Mn0.15Zn1.85Sb2,,,6329,1967,4995,300,9.18E-05,2.515862069,0.000663295,0.080688921,78434.1637,27922.14606,4.445948795,0.030254296,,1,TRUE,4,0,91.8,91.8,0.453219234,1.953219234,1.95322E-08,0.459597351,2.056264718,
21139,10.1016/j.jallcom.2012.08.041,Bi0.0044Pb0.9956Te0.88S0.12,Bi0.0044Te0.88Pb0.9956S0.12,Toxic,,22,1711,72,300,-4.41E-05,1.625314685,0.000330881,0.063337366,178869.9716,27925.67022,4.446003605,0.151191736,,1,FALSE,4,0,-44.1,44.1,0.683743512,2.183743512,2.18374E-08,1.17181842,0.453496265,
21137,10.1063/1.3605246,"x=0.8,y=0.03",Cu3Ge0.03Sb0.97Se3.2S0.8,Toxic,Antimonide,6640,343,5270,300,0.000123255,1.947115385,,0.117917327,51650.06629,27926.81406,4.446021393,0.037337626,,1,TRUE,5,0,123.255,123.255,0.345575857,1.845575857,1.84558E-08,0.285972346,1.661143039,
21132,10.1016/j.jallcom.2017.06.296,x=0.05,Te0.992Pb1Se0.05I0.003,Toxic,,2757,18588,1814,300,-9.27E-05,2.817186523,0.000635289,0.092640016,77552.1242,27947.86375,4.446348617,0.026341679,,1,FALSE,4,0,-92.7,92.7,0.449716484,1.949716484,1.94972E-08,0.453613965,2.363572558,
21117,10.1007/s11664-015-4221-7,x=1.0,SnGe3SbTe5,Toxic,,16340,10934,13842,300,0.00010052,1.46667409,,0.121166022,69662.57669,27971.276,4.446712279,0.058373564,,1,FALSE,4,51,100.52,100.52,0.420398703,1.920398703,1.9204E-08,0.401339766,1.065334324,
21110,10.1002/adma.201203764,BT80BS20,Bi10(Te4Se)3,Toxic,Bi2Te3,1429,161,835,300,-0.000201049,0.581,0.000812256,0.423111111,20200,27982.00325,4.446878803,0.129078934,,1,FALSE,3,0,-201.049,201.049,0.176721358,1.676721358,1.67672E-08,0.101609314,0.479390686,
21102,10.1063/1.4794992,4,Si2.8Ni1B0.2P4,,,21367,2092,17782,300,0.0002442,9.044239795,0.225783972,0.028085106,12192.15158,27994.441,4.4470718,0.006939455,,1,TRUE,4,0,244.2,244.2,0.121824668,1.621824668,1.62182E-08,0.059320597,8.984919198,
21101,10.1002/adma.201203764,BT,Bi2Te2.9,Toxic,Bi2Te3,1426,161,835,300,-0.000137529,0.671,0.000805571,0.369777778,43300,27994.90219,4.447078954,0.141097691,,1,FALSE,2,27,-137.529,137.529,0.305564367,1.805564367,1.80556E-08,0.234542811,0.436457189,
